threshold,mechanism,n_cases,true_auc_total,display_auc_total,hidden_auc_total,overdisplay_auc_total,hidden_auc_display_unavailable_total,hidden_auc_display_valid_total,true_auc_display_valid_total,HDR,ODR,NetBias,HDR_unavailable_component,HDR_valid_mismatch_component,HDR_display_valid,ODR_display_valid,display_unavailable_fraction
55.0,actual_nibp_timing_plus_cuff,365,10446.666666666666,3173.0,10241.916666666666,2968.25,3803.0,6438.916666666666,6643.666666666666,0.9804004467134653,0.2841336949585195,-0.6962667517549458,0.36403956604977666,0.6163608806636885,0.9691811750539361,0.44677888716070446,0.6047823918194288
55.0,actual_timing_only,365,10446.666666666666,4780.605216666663,8365.414,2699.3525499999964,3803.0,4562.414,6643.666666666666,0.8007735162731335,0.25839367102744065,-0.5423798452456927,0.36403956604977666,0.43673395022335676,0.6867313230645729,0.40630463348552454,0.6047823918194288
55.0,fixed_5min_frequency_only,365,10446.666666666666,11874.333333333332,8066.083333333333,9493.75,3216.083333333333,4850.0,7230.583333333334,0.7721202935545629,0.908782705807275,0.13666241225271214,0.3078573707721761,0.46426292278238673,0.670761925616882,1.3129991817165512,0.011294010059442158
60.0,actual_nibp_timing_plus_cuff,365,19401.25,8943.333333333332,18642.916666666668,8185.0,8262.333333333334,10380.583333333334,11138.916666666668,0.9609131714021864,0.42188003350299597,-0.5390331378991904,0.425866030968795,0.5350471404333913,0.9319203692758871,0.7348111351343263,0.6047823918194288
60.0,actual_timing_only,365,19401.25,8763.48356666666,15274.9817,4637.215266666659,8262.333333333334,7012.648366666666,11138.916666666668,0.7873194613749114,0.2390163142409205,-0.5483031471339909,0.425866030968795,0.36145343040611644,0.6295628719130375,0.41630756432028776,0.6047823918194288
60.0,fixed_5min_frequency_only,365,19401.25,21193.166666666664,13506.083333333332,15298.0,4103.75,9402.333333333332,15297.499999999998,0.6961450078388419,0.7885058952387088,0.09236088739986673,0.21151987629663038,0.48462513154221154,0.6146320204826496,1.0000326850792614,0.011294010059442158
65.0,actual_nibp_timing_plus_cuff,365,41564.58333333333,23991.833333333336,38486.75,20914.0,20011.916666666664,18474.833333333336,21552.666666666664,0.9259505789183501,0.5031687634705028,-0.4227818154478471,0.4814655906972082,0.4444849882211419,0.8571947786816791,0.970367162609422,0.6047823918194288
65.0,actual_timing_only,365,41564.58333333333,18772.83174999999,31575.39335,8783.641766666657,20011.916666666664,11563.47668333333,21552.666666666664,0.7596706334519574,0.21132514901508676,-0.5483454844368705,0.4814655906972082,0.2782050427547491,0.5365218542175755,0.4075431547526984,0.6047823918194288
65.0,fixed_5min_frequency_only,365,41564.58333333333,43529.666666666664,24171.5,26136.583333333332,5226.166666666666,18945.333333333332,36338.416666666664,0.5815407748985014,0.6288186055836801,0.047277830685178754,0.12573605333066012,0.45580472156784124,0.5213582503365355,0.719254874891357,0.011294010059442158
55.0,cuff_level_increment_actual_minus_timing,365,10446.666666666666,-1607.6052166666632,1876.5026666666654,268.8974500000036,0.0,1876.5026666666663,0.0,0.17962693044033173,0.025740023931078826,-0.15388690650925307,0.0,0.1796269304403318,0.28244985198936323,0.04047425367517993,0.0
60.0,cuff_level_increment_actual_minus_timing,365,19401.25,179.8497666666717,3367.9349666666676,3547.784733333341,0.0,3367.9349666666676,0.0,0.17359371002727497,0.18286371926207545,0.00927000923480048,0.0,0.17359371002727486,0.30235749736284956,0.3185035708140385,0.0
65.0,cuff_level_increment_actual_minus_timing,365,41564.58333333333,5219.0015833333455,6911.3566500000015,12130.358233333343,0.0,6911.356650000005,0.0,0.1662799454663927,0.291843614455416,0.12556366898902338,0.0,0.1662799454663928,0.32067292446410367,0.5628240078567236,0.0
